Respondents,party,post,age,ethnicity,sex,religion,profession,marital,income,locality,education,years_politics,healthy_politics,other_party_comm,other_party,internal_conf_sat,fund,compromise,trust_others,separation_power,nature_bd_politics,virtue_1,virtue_1,election_confidence,party_wings,party_members,follow_nation,harmful_nation,constitution_sat,ethnic_network,student_wing_sat,singular_ideology,internal_dem,party_hierarchy,emotional,logical,logic_change,ind_cons_lib,party_cons_lib,conform_party_id,ind_ideo_imp,economy,military_spend,ext_interfere,ally_nation,narcissism,govt_sat,gen_equality,liberation_war,govt_sector_Health,govt_sector_education,values_1,values_2,route_power,source_info,tolerance,sex_lib,death_penalty,religiosity,fav_media,time_media,sac_afterlife,violence,ind_collect,rel_pol,fav_book,fav_leader
303,CPB_Basod,"President, Youth Front (National)",>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,CPB,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Slightly,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Social safety,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,A lot,A lot,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
304,CPB_Basod,District Coordinator of Bashod (Cox's Bazar),Thirty-Forty,Bengali,Male,Islam,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,Little bit,A lot,Slightly,cuba,India,A lot,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not quite,Not at all,A lot,99,Totally,Slightly,Totally,A lot,Education,Health,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,Not at all,A lot,Little bit,WhatsApp,One-Two hr,Little bit,Not quite,Totally,Totally,Mother by Maxim Gorki,Lelin
305,CPB_Basod,"Zilla Committee Member (CPB, Habiganj)",Thirty-Forty,Bengali,Male,Choose not to identify,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,A lot,Not at all,Slightly,cuba,India,Little bit,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not at all,Not at all,Little bit,99,Totally,Slightly,Totally,A lot,Education,Social safety,Honesty,Faith,Mass revoution uprising,Party members,Little bit,A lot,Totally,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
306,CPB_Basod,Central Committee Member (BASOD),>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,CPB,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Slightly,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Social safety,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,A lot,A lot,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
307,CPB_Basod,"Organising Secretary, Thana CPB (Tangail)",Thirty-Forty,Bengali,Male,Islam,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,Little bit,A lot,Slightly,cuba,India,A lot,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not quite,Not at all,A lot,99,Totally,Slightly,Totally,A lot,Education,Health,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,Not at all,A lot,Little bit,WhatsApp,One-Two hr,Little bit,Not quite,Totally,Totally,Mother by Maxim Gorki,Lelin
308,CPB_Basod,"President, Student Front (National)",Thirty-Forty,Bengali,Male,Choose not to identify,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,A lot,Not at all,Slightly,cuba,India,Little bit,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not at all,Not at all,Little bit,99,Totally,Slightly,Totally,A lot,Education,Social safety,Honesty,Faith,Mass revoution uprising,Party members,Little bit,A lot,Totally,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
309,CPB_Basod,District Coordinator of Bashod (Pabna),>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,CPB,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Not quite,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Social safety,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,A lot,A lot,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
310,CPB_Basod,"Zilla Committee Member (CPB, Sherpur)",Thirty-Forty,Bengali,Male,Islam,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,Little bit,A lot,Slightly,cuba,India,A lot,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Slightly,Not at all,A lot,99,Totally,Slightly,Totally,A lot,Education,Health,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,Not at all,A lot,Little bit,WhatsApp,One-Two hr,Little bit,Not quite,Totally,Totally,Mother by Maxim Gorki,Lelin
311,CPB_Basod,Central Committee Secretary (CPB),Thirty-Forty,Bengali,Male,Choose not to identify,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,A lot,Not at all,Slightly,cuba,India,Little bit,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not quite,Not at all,Little bit,99,Totally,Slightly,Totally,A lot,Education,Social safety,Honesty,Faith,Mass revoution uprising,Party members,Little bit,A lot,Totally,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
312,CPB_Basod,"Organising Secretary, Thana CPB (Pabna)",>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,CPB,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Not at all,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Social safety,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,A lot,A lot,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
313,CPB_Basod,"President, Youth Front (RU Unit)",Thirty-Forty,Bengali,Male,Islam,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,Little bit,A lot,Slightly,cuba,India,A lot,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not quite,Not at all,A lot,99,Totally,Slightly,Totally,A lot,Education,Health,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,Not at all,A lot,Little bit,WhatsApp,One-Two hr,Little bit,Not quite,Totally,Totally,Mother by Maxim Gorki,Lelin
314,CPB_Basod,District Coordinator of Bashod (Magura),Thirty-Forty,Bengali,Male,Choose not to identify,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,A lot,Not at all,Slightly,cuba,India,Little bit,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not at all,Not at all,Little bit,99,Totally,Slightly,Totally,A lot,Education,Social safety,Honesty,Faith,Mass revoution uprising,Party members,Little bit,A lot,Totally,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
315,CPB_Basod,"Zilla Committee Member (CPB, Satkhira)",>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,CPB,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Not quite,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Social safety,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,A lot,A lot,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
316,CPB_Basod,Central Committee Member (CPB),Thirty-Forty,Bengali,Male,Islam,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,Little bit,A lot,Slightly,cuba,India,A lot,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not at all,Not at all,A lot,99,Totally,Slightly,Totally,A lot,Education,Health,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,Not at all,A lot,Little bit,WhatsApp,One-Two hr,Little bit,Not quite,Totally,Totally,Mother by Maxim Gorki,Lelin
317,CPB_Basod,"Organising Secretary, Thana CPB (Bogra)",Thirty-Forty,Bengali,Male,Choose not to identify,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,A lot,Not at all,Slightly,cuba,India,Little bit,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not quite,Not at all,Little bit,99,Totally,Slightly,Totally,A lot,Education,Social safety,Honesty,Faith,Mass revoution uprising,Party members,Little bit,A lot,Totally,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
318,CPB_Basod,"President, Student Front (DU Unit)",>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,CPB,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Not quite,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Social safety,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,A lot,A lot,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
319,CPB_Basod,District Coordinator of Bashod (Jhenaidah),Thirty-Forty,Bengali,Male,Islam,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,Little bit,A lot,Slightly,cuba,India,A lot,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not quite,Not at all,A lot,99,Totally,Slightly,Totally,A lot,Education,Health,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,Not at all,A lot,Little bit,WhatsApp,One-Two hr,Little bit,Not quite,Totally,Totally,Mother by Maxim Gorki,Lelin
320,CPB_Basod,"Zilla Committee Member (CPB, Gaibandha)",Thirty-Forty,Bengali,Male,Choose not to identify,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,A lot,Not at all,Slightly,cuba,India,Little bit,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not quite,Not at all,Little bit,99,Totally,Slightly,Totally,A lot,Education,Social safety,Honesty,Faith,Mass revoution uprising,Party members,Little bit,A lot,Totally,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
321,CPB_Basod,Central Committee Secretary (BASOD),>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,CPB,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Not quite,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Social safety,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,A lot,A lot,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
322,CPB_Basod,"Organising Secretary, Thana CPB (Jessore)",Thirty-Forty,Bengali,Male,Islam,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,Little bit,A lot,Slightly,cuba,India,A lot,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not at all,Not at all,A lot,99,Totally,Slightly,Totally,A lot,Education,Health,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,Not at all,A lot,Little bit,WhatsApp,One-Two hr,Little bit,Not quite,Totally,Totally,Mother by Maxim Gorki,Lelin
323,CPB_Basod,"President, Youth Front (JU Unit)",Thirty-Forty,Bengali,Male,Choose not to identify,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,A lot,Not at all,Slightly,cuba,India,Little bit,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not at all,Not at all,Little bit,99,Totally,Slightly,Totally,A lot,Education,Social safety,Honesty,Faith,Mass revoution uprising,Party members,Little bit,A lot,Totally,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
324,CPB_Basod,Upazilla Member,>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,CPB,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Not at all,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Social safety,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,A lot,A lot,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
325,CPB_Basod,Upazilla Member,Thirty-Forty,Bengali,Male,Islam,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,Little bit,A lot,Slightly,cuba,India,A lot,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not at all,Not at all,A lot,99,Totally,Slightly,Totally,A lot,Education,Health,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,Not at all,A lot,Little bit,WhatsApp,One-Two hr,Little bit,Not quite,Totally,Totally,Mother by Maxim Gorki,Lelin
326,CPB_Basod,Upazilla Member,Thirty-Forty,Bengali,Male,Choose not to identify,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,A lot,Not at all,Slightly,cuba,India,Little bit,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Slightly,Not at all,Little bit,99,Totally,Slightly,Totally,A lot,Education,Social safety,Honesty,Faith,Mass revoution uprising,Party members,Little bit,A lot,Totally,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
327,CPB_Basod,District Coordinator of Basod (Chittagong),>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,CPB,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Not quite,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Social safety,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,A lot,A lot,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
328,CPB_Basod,Upazilla Member,Thirty-Forty,Bengali,Male,Choose not to identify,student,Unmarried,<Thirty Thousand,Rural,Masters,<Ten years,No,Yes,CPB,Totally,Party treasury,Not at all,A lot,Totally,Socialist ML,Eshtablishing Socialism,honesty,A lot,Not at all,Slightly,cuba,India,Little bit,A lot,A lot,A lot,Totally,Not at all,Little bit,A lot,Not at all,A lot,Totally,Totally,Totally,Not at all,Not at all,Little bit,99,Totally,Slightly,Totally,A lot,Education,Health,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,Not at all,A lot,Little bit,WhatsApp,One-Two hr,Little bit,Not quite,Totally,Totally,Mother by Maxim Gorki,Lelin
329,CPB_Basod,Upazilla Member,>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,CPB,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Not at all,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Social safety,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,A lot,A lot,Not at all,FB-Messenger,One-Two hr,Not at all,Not at all,A lot,Totally,Mother by Maxim Gorki,karl marx
330,CPB_Basod,Upazilla Member,>Sixty,Bengali,Male,Islam,business,Married,One-Two Lac,Urban,Masters,>Thirty years,Yes,Yes,0,Totally,Local donors,Not at all,Totally,Totally,Socialist ML,Socialistic Revolution,Ethically strong,Totally,Not at allSlightly,A lot,"cuba, china",USA,Little bit,Totally,Totally,Totally,Totally,Not quite,A lot,Totally,Not at all,Little bit,A lot,Totally,Totally,Not at all,Not at all,Not at all,EU,Totally,Not quite,Totally,Totally,Education,Health,Honesty,Tolerance,Mass revoution uprising,Party members,Little bit,Not at all,A lot,Little bit,WhatsApp,One-Two hr,Little bit,Not quite,Totally,Totally,Mother by Maxim Gorki,Lelin
331,Ethnic_Parties,"Zilla Committee Member (CPB, Gaibandha)",Thirty-Forty,Plainland Ethnic People,Male,5,Politics,Unmarried,<Thirty Thousand,Semi-urban,Honours,Twenty-Thirty years,Yes,Yes,0,Little bit,Local donors,Not at all,Little bit,Totally,Democratic,All men are equal based on their Religion and race,tolerance,A lot,Not quiteLittle bit,Not at all,,usa,Not quite,Not at all,Little bit,Not quite,Not quite,Not at all,A lot,Not quite,A lot,Little bit,Little bit,A lot,Little bit,Totally,Not at all,Not quite,China,A lot,Not at all,Totally,Totally,Education,Health,Honesty,Tolerance,Majority through elections,Party members,Little bit,Little bit,Not at all,Not at all,FB-Messenger,Two-Three hr,Not at all,Not at all,Little bit,Totally,Mother by Maxim Gorki,Lelin
332,Ethnic_Parties,"Zilla Committee Member (CPB, Netrokona)",Thirty-Forty,Plainland Ethnic People,Male,5,Politics,Unmarried,<Thirty Thousand,Semi-urban,Honours,Twenty-Thirty years,Yes,Yes,0,Little bit,Local donors,Not at all,Little bit,Totally,Democratic,All men are equal based on their Religion and race,tolerance,A lot,Not quiteLittle bit,Not at all,,usa,Not quite,Not at all,Little bit,Not quite,Not quite,Not at all,A lot,Not quite,A lot,Little bit,Little bit,A lot,Little bit,A lot,Not at all,Not quite,China,A lot,Not at all,Totally,Totally,Education,Health,Honesty,Tolerance,Majority through elections,Party members,Little bit,Little bit,Not at all,Not at all,FB-Messenger,Two-Three hr,Not at all,Not at all,Little bit,Totally,Mother by Maxim Gorki,Lelin
333,Ethnic_Parties,"Zilla Committee Member (CPB, Netrokona)",Thirty-Forty,Plainland Ethnic People,Male,5,Politics,Unmarried,<Thirty Thousand,Semi-urban,Honours,Twenty-Thirty years,Yes,Yes,0,Little bit,Local donors,Not at all,Little bit,Totally,Democratic,All men are equal based on their Religion and race,tolerance,A lot,Not quiteLittle bit,Not at all,,usa,Not quite,Not at all,Little bit,Not quite,Not quite,Not at all,A lot,Not quite,A lot,Little bit,Little bit,A lot,Little bit,A lot,Not at all,Not quite,China,A lot,Not at all,Totally,Totally,Education,Health,Honesty,Tolerance,Majority through elections,Party members,Little bit,Little bit,Not at all,Not at all,FB-Messenger,Two-Three hr,Not at all,Not at all,Little bit,Totally,Mother by Maxim Gorki,Lelin
334,Ethnic_Parties,"Zilla Committee Member (CPB, Gaibandha)",Thirty-Forty,Plainland Ethnic People,Male,5,Politics,Unmarried,<Thirty Thousand,Semi-urban,Honours,Twenty-Thirty years,Yes,Yes,CPB,Little bit,Local donors,Not at all,Little bit,Totally,Democratic,All men are equal based on their Religion and race,tolerance,A lot,Not quiteLittle bit,Not at all,,usa,Not quite,Not at all,Little bit,Not quite,Not quite,Not at all,A lot,Not quite,A lot,Little bit,Little bit,A lot,Little bit,Little bit,Not at all,Not quite,China,A lot,Not at all,Totally,Totally,Education,Health,Honesty,Tolerance,Majority through elections,Party members,Little bit,Little bit,Not at all,Not at all,FB-Messenger,Two-Three hr,Not at all,Not at all,Little bit,Totally,Mother by Maxim Gorki,Lelin
335,Ethnic_Parties,"Zilla Committee Member (CPB, Gaibandha)",Thirty-Forty,Plainland Ethnic People,Male,5,Politics,Unmarried,<Thirty Thousand,Semi-urban,Honours,Twenty-Thirty years,Yes,Yes,0,Little bit,Local donors,Not at all,Little bit,Totally,Democratic,All men are equal based on their Religion and race,tolerance,A lot,Not quiteLittle bit,Not at all,,usa,Not quite,Not at all,Little bit,Not quite,Not quite,Not at all,A lot,Not quite,A lot,Little bit,Little bit,A lot,Little bit,Totally,Not at all,Not quite,China,A lot,Not at all,Totally,Totally,Education,Health,Honesty,Tolerance,Majority through elections,Party members,Little bit,Little bit,Not at all,Not at all,FB-Messenger,Two-Three hr,Not at all,Not at all,Little bit,Totally,Mother by Maxim Gorki,Lelin
336,Ethnic_Parties,"Zilla Committee Member (CPB, Chittagong)",Thirty-Forty,Plainland Ethnic People,Male,5,Politics,Unmarried,<Thirty Thousand,Semi-urban,Honours,Twenty-Thirty years,Yes,Yes,0,Little bit,Local donors,Not at all,Little bit,Totally,Democratic,All men are equal based on their Religion and race,tolerance,A lot,Not quiteLittle bit,Not at all,,usa,Not quite,Not at all,Little bit,Not quite,Not quite,Not at all,A lot,Not quite,A lot,Little bit,Little bit,A lot,Little bit,Totally,Not at all,Not quite,China,A lot,Not at all,Totally,Totally,Education,Health,Honesty,Tolerance,Majority through elections,Party members,Little bit,Little bit,Not at all,Not at all,FB-Messenger,Two-Three hr,Not at all,Not at all,Little bit,Totally,Mother by Maxim Gorki,Lelin
337,Jamaat,"Ameer, Zilla Unit (Rajshahi)",Thirty-Forty,Bengali,Male,Islam,engineer,Married,>Two Lac,Semi-urban,PhD-PostDoc,Ten-Twenty years,No,Yes,Basod,Totally,All of the above,A lot,Little bit,Totally,Democracy Shariah,Eshtablishing Islamic republic,Fear of Allah,Little bit,Slightly,Not quite,"china, turkey",India,A lot,Totally,Totally,A lot,Totally,Not quite,Slightly,A lot,A lot,Slightly,Slightly,A lot,A lot,Not at all,Not quite,Little bit,China,A lot,Not quite,Little bit,Totally,Education,Infrastructure,Honesty,Intelligence,Mass revoution uprising,Internet,A lot,Not at all,Totally,A lot,Telegram,One-Two hr,Totally,Totally,A lot,Not at all,Alchemist -Paolo Coelho,Hazrat Muhammad s.
338,Jamaat,Central Secretary General,Thirty-Forty,Bengali,Male,Islam,engineer,Married,Fifty-Eighty Thousand,Semi-urban,PhD-PostDoc,Ten-Twenty years,No,Yes,0,Totally,All of the above,A lot,Little bit,Totally,Democracy Shariah,Eshtablishing Islamic republic,Fear of Allah,Little bit,Slightly,Not quite,"china, turkey",India,A lot,Totally,Totally,A lot,Totally,Not quite,Slightly,A lot,A lot,Slightly,Slightly,A lot,A lot,Not quite,Not quite,Little bit,China,A lot,Not quite,Little bit,Totally,Education,Infrastructure,Honesty,Intelligence,Mass revoution uprising,Internet,A lot,Not at all,Totally,A lot,Telegram,One-Two hr,Totally,Totally,A lot,Not at all,Quran,Hazrat Muhammad s.
339,Jamaat,Member of Majlish-e-Shura (National),Thirty-Forty,Bengali,Male,Islam,teacher,Married,Eighty K-One Lac,Semi-urban,PhD-PostDoc,Ten-Twenty years,No,Yes,BNP,Totally,All of the above,A lot,Little bit,Totally,Democracy Shariah,Eshtablishing Islamic republic,Fear of Allah,Little bit,Slightly,Not quite,"china, turkey",India,A lot,Totally,Totally,A lot,Totally,Not quite,Slightly,A lot,A lot,Slightly,Slightly,A lot,A lot,Not at all,Not quite,Little bit,China,A lot,Not quite,Little bit,Totally,Education,Infrastructure,Honesty,Intelligence,Mass revoution uprising,Internet,A lot,Not at all,Totally,A lot,Telegram,One-Two hr,Totally,Totally,A lot,Not at all,Quran,Hazrat Muhammad s.
340,Jamaat,"Publicity Secretary, Upazilla (Dinajpur)",Forty One-Fifty,Bengali,Male,Islam,lawyer,Married,Thirty-Fifty Thousand,Semi-urban,PhD-PostDoc,Ten-Twenty years,No,Yes,Basod,Totally,All of the above,A lot,Little bit,Totally,Democracy Shariah,Eshtablishing Islamic republic,Fear of Allah,Little bit,Slightly,Not quite,"china, turkey",India,A lot,Totally,Totally,A lot,Totally,Not quite,Slightly,A lot,A lot,Slightly,Slightly,A lot,A lot,Not at all,Not quite,Little bit,China,A lot,Not quite,Little bit,Totally,Education,Infrastructure,Honesty,Intelligence,Mass revoution uprising,Internet,A lot,Not at all,Totally,A lot,Telegram,One-Two hr,Totally,Totally,A lot,Not at all,Quran,Hazrat Muhammad s.
